step,S,I,R
0,48,2,0
1,47,3,0
2,46,4,0
3,45,5,0
4,42,7,1
5,39,10,1
6,34,15,1
7,29,19,2
8,22,25,3
9,17,28,5
10,14,28,8
11,8,30,12
12,6,31,13
13,3,34,13
14,2,34,14
15,1,35,14
16,0,36,14
17,0,35,15
18,0,34,16
19,0,32,18
20,0,30,20
21,0,28,22
22,0,28,22
23,0,27,23
24,0,25,25
25,0,22,28
26,0,22,28
27,0,21,29
28,0,20,30
29,0,18,32
30,0,18,32
31,0,16,34
32,0,16,34
33,0,14,36
34,0,14,36
35,0,13,37
36,0,12,38
37,0,12,38
38,0,10,40
39,0,10,40
40,0,9,41
41,0,9,41
42,0,8,42
43,0,8,42
44,0,7,43
45,0,7,43
46,0,7,43
47,0,4,46
48,0,4,46
49,0,4,46
50,0,2,48
51,0,2,48
52,0,2,48
53,0,2,48
54,0,2,48
55,0,2,48
56,0,1,49
57,0,1,49
58,0,1,49
59,0,1,49
60,0,1,49
61,0,1,49
62,0,1,49
63,0,1,49
64,0,1,49
65,0,1,49
66,0,1,49
67,0,1,49
68,0,1,49
69,0,0,50
