step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,46,4,0
4,43,7,0
5,42,7,1
6,40,8,2
7,35,13,2
8,29,19,2
9,27,19,4
10,24,20,6
11,21,20,9
12,16,23,11
13,15,24,11
14,13,25,12
15,11,27,12
16,10,24,16
17,6,28,16
18,4,28,18
19,3,27,20
20,3,25,22
21,1,23,26
22,1,21,28
23,0,20,30
24,0,20,30
25,0,20,30
26,0,20,30
27,0,20,30
28,0,19,31
29,0,18,32
30,0,18,32
31,0,18,32
32,0,18,32
33,0,16,34
34,0,14,36
35,0,12,38
36,0,12,38
37,0,12,38
38,0,12,38
39,0,12,38
40,0,11,39
41,0,11,39
42,0,10,40
43,0,10,40
44,0,9,41
45,0,9,41
46,0,9,41
47,0,9,41
48,0,9,41
49,0,8,42
50,0,7,43
51,0,6,44
52,0,6,44
53,0,5,45
54,0,5,45
55,0,5,45
56,0,5,45
57,0,5,45
58,0,5,45
59,0,5,45
60,0,5,45
61,0,5,45
62,0,5,45
63,0,4,46
64,0,4,46
65,0,3,47
66,0,3,47
67,0,2,48
68,0,2,48
69,0,1,49
70,0,1,49
71,0,1,49
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,0,50
