step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,48,2,0
4,48,2,0
5,46,4,0
6,43,7,0
7,43,7,0
8,39,11,0
9,36,11,3
10,35,12,3
11,26,21,3
12,24,23,3
13,20,27,3
14,16,30,4
15,14,32,4
16,12,32,6
17,8,35,7
18,4,38,8
19,2,39,9
20,1,35,14
21,0,34,16
22,0,34,16
23,0,34,16
24,0,34,16
25,0,33,17
26,0,32,18
27,0,32,18
28,0,29,21
29,0,26,24
30,0,25,25
31,0,24,26
32,0,20,30
33,0,20,30
34,0,20,30
35,0,20,30
36,0,20,30
37,0,20,30
38,0,19,31
39,0,17,33
40,0,17,33
41,0,14,36
42,0,14,36
43,0,14,36
44,0,13,37
45,0,13,37
46,0,13,37
47,0,11,39
48,0,9,41
49,0,9,41
50,0,9,41
51,0,8,42
52,0,8,42
53,0,8,42
54,0,8,42
55,0,8,42
56,0,8,42
57,0,8,42
58,0,8,42
59,0,8,42
60,0,8,42
61,0,8,42
62,0,8,42
63,0,7,43
64,0,6,44
65,0,5,45
66,0,5,45
67,0,5,45
68,0,5,45
69,0,4,46
70,0,4,46
71,0,4,46
72,0,4,46
73,0,4,46
74,0,3,47
75,0,3,47
76,0,3,47
77,0,3,47
78,0,3,47
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,1,49
84,0,1,49
85,0,1,49
86,0,0,50
