step,S,I,R
0,48,2,0
1,47,3,0
2,46,4,0
3,45,5,0
4,45,5,0
5,42,8,0
6,37,12,1
7,34,14,2
8,30,18,2
9,25,23,2
10,21,26,3
11,19,27,4
12,17,29,4
13,14,30,6
14,10,28,12
15,7,29,14
16,3,33,14
17,1,34,15
18,1,30,19
19,0,31,19
20,0,28,22
21,0,27,23
22,0,27,23
23,0,22,28
24,0,21,29
25,0,21,29
26,0,21,29
27,0,21,29
28,0,19,31
29,0,19,31
30,0,16,34
31,0,14,36
32,0,14,36
33,0,14,36
34,0,14,36
35,0,13,37
36,0,11,39
37,0,11,39
38,0,11,39
39,0,11,39
40,0,11,39
41,0,11,39
42,0,11,39
43,0,9,41
44,0,8,42
45,0,8,42
46,0,8,42
47,0,8,42
48,0,7,43
49,0,7,43
50,0,6,44
51,0,6,44
52,0,5,45
53,0,5,45
54,0,5,45
55,0,5,45
56,0,5,45
57,0,5,45
58,0,5,45
59,0,5,45
60,0,5,45
61,0,5,45
62,0,4,46
63,0,3,47
64,0,3,47
65,0,3,47
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,1,49
71,0,1,49
72,0,1,49
73,0,1,49
74,0,0,50
