step,S,I,R
0,48,2,0
1,47,2,1
2,45,4,1
3,40,9,1
4,35,14,1
5,29,20,1
6,25,24,1
7,23,25,2
8,18,30,2
9,15,33,2
10,13,33,4
11,11,33,6
12,9,33,8
13,9,33,8
14,8,30,12
15,7,31,12
16,5,31,14
17,2,33,15
18,2,31,17
19,1,30,19
20,1,27,22
21,0,26,24
22,0,26,24
23,0,25,25
24,0,23,27
25,0,22,28
26,0,20,30
27,0,18,32
28,0,17,33
29,0,16,34
30,0,16,34
31,0,16,34
32,0,16,34
33,0,15,35
34,0,14,36
35,0,13,37
36,0,13,37
37,0,13,37
38,0,13,37
39,0,13,37
40,0,12,38
41,0,12,38
42,0,12,38
43,0,10,40
44,0,10,40
45,0,8,42
46,0,8,42
47,0,8,42
48,0,7,43
49,0,7,43
50,0,5,45
51,0,5,45
52,0,5,45
53,0,4,46
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,4,46
68,0,4,46
69,0,4,46
70,0,4,46
71,0,4,46
72,0,4,46
73,0,3,47
74,0,3,47
75,0,3,47
76,0,3,47
77,0,3,47
78,0,3,47
79,0,3,47
80,0,3,47
81,0,3,47
82,0,3,47
83,0,3,47
84,0,3,47
85,0,3,47
86,0,3,47
87,0,3,47
88,0,3,47
89,0,3,47
90,0,3,47
91,0,3,47
92,0,3,47
93,0,3,47
94,0,3,47
95,0,3,47
96,0,3,47
97,0,3,47
98,0,3,47
99,0,3,47
100,0,3,47
101,0,3,47
102,0,3,47
103,0,3,47
104,0,2,48
105,0,2,48
106,0,2,48
107,0,2,48
108,0,2,48
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,1,49
114,0,1,49
115,0,1,49
116,0,1,49
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,0,50
