step,S,I,R
0,48,2,0
1,48,2,0
2,47,3,0
3,46,4,0
4,44,6,0
5,42,7,1
6,38,11,1
7,34,15,1
8,29,19,2
9,24,23,3
10,21,25,4
11,15,30,5
12,12,33,5
13,9,36,5
14,7,35,8
15,2,38,10
16,1,37,12
17,1,36,13
18,0,36,14
19,0,35,15
20,0,31,19
21,0,31,19
22,0,30,20
23,0,29,21
24,0,27,23
25,0,26,24
26,0,26,24
27,0,24,26
28,0,24,26
29,0,22,28
30,0,21,29
31,0,20,30
32,0,19,31
33,0,19,31
34,0,19,31
35,0,18,32
36,0,17,33
37,0,17,33
38,0,16,34
39,0,14,36
40,0,14,36
41,0,14,36
42,0,14,36
43,0,14,36
44,0,12,38
45,0,12,38
46,0,12,38
47,0,12,38
48,0,11,39
49,0,11,39
50,0,10,40
51,0,10,40
52,0,9,41
53,0,9,41
54,0,9,41
55,0,7,43
56,0,6,44
57,0,5,45
58,0,5,45
59,0,5,45
60,0,5,45
61,0,5,45
62,0,5,45
63,0,5,45
64,0,4,46
65,0,4,46
66,0,3,47
67,0,3,47
68,0,3,47
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,0,50
