step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,46,4,0
4,46,4,0
5,44,6,0
6,44,6,0
7,44,6,0
8,41,8,1
9,33,16,1
10,25,23,2
11,20,26,4
12,15,28,7
13,11,30,9
14,8,32,10
15,6,31,13
16,5,28,17
17,4,26,20
18,4,22,24
19,4,19,27
20,2,19,29
21,1,20,29
22,1,20,29
23,1,20,29
24,0,21,29
25,0,21,29
26,0,20,30
27,0,20,30
28,0,18,32
29,0,16,34
30,0,15,35
31,0,14,36
32,0,14,36
33,0,14,36
34,0,14,36
35,0,12,38
36,0,11,39
37,0,11,39
38,0,10,40
39,0,9,41
40,0,9,41
41,0,8,42
42,0,7,43
43,0,7,43
44,0,7,43
45,0,6,44
46,0,6,44
47,0,5,45
48,0,5,45
49,0,5,45
50,0,4,46
51,0,4,46
52,0,4,46
53,0,4,46
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,3,47
61,0,3,47
62,0,3,47
63,0,3,47
64,0,2,48
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,1,49
81,0,0,50
