step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,48,2,0
4,47,3,0
5,46,3,1
6,45,3,2
7,44,3,3
8,44,3,3
9,42,5,3
10,40,7,3
11,37,10,3
12,36,10,4
13,32,13,5
14,24,20,6
15,20,23,7
16,15,27,8
17,9,31,10
18,7,31,12
19,5,32,13
20,4,30,16
21,3,30,17
22,1,30,19
23,1,30,19
24,0,28,22
25,0,27,23
26,0,26,24
27,0,24,26
28,0,23,27
29,0,22,28
30,0,21,29
31,0,21,29
32,0,18,32
33,0,17,33
34,0,15,35
35,0,14,36
36,0,13,37
37,0,13,37
38,0,13,37
39,0,12,38
40,0,12,38
41,0,10,40
42,0,10,40
43,0,10,40
44,0,10,40
45,0,8,42
46,0,7,43
47,0,7,43
48,0,7,43
49,0,7,43
50,0,7,43
51,0,7,43
52,0,7,43
53,0,6,44
54,0,5,45
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,4,46
68,0,4,46
69,0,4,46
70,0,4,46
71,0,4,46
72,0,4,46
73,0,4,46
74,0,4,46
75,0,4,46
76,0,4,46
77,0,4,46
78,0,3,47
79,0,3,47
80,0,3,47
81,0,3,47
82,0,3,47
83,0,3,47
84,0,3,47
85,0,3,47
86,0,2,48
87,0,2,48
88,0,2,48
89,0,2,48
90,0,2,48
91,0,1,49
92,0,0,50
