step,S,I,R
0,48,2,0
1,47,3,0
2,47,3,0
3,46,3,1
4,45,4,1
5,44,5,1
6,43,6,1
7,43,6,1
8,42,7,1
9,39,10,1
10,37,12,1
11,33,16,1
12,32,17,1
13,27,21,2
14,25,22,3
15,24,22,4
16,21,23,6
17,19,25,6
18,16,27,7
19,16,25,9
20,12,27,11
21,11,26,13
22,8,29,13
23,5,31,14
24,5,29,16
25,5,26,19
26,5,26,19
27,4,21,25
28,4,21,25
29,4,20,26
30,4,20,26
31,3,18,29
32,2,18,30
33,2,14,34
34,2,11,37
35,2,11,37
36,2,11,37
37,1,12,37
38,1,12,37
39,1,11,38
40,1,11,38
41,1,10,39
42,0,11,39
43,0,10,40
44,0,10,40
45,0,9,41
46,0,8,42
47,0,8,42
48,0,8,42
49,0,7,43
50,0,7,43
51,0,6,44
52,0,6,44
53,0,6,44
54,0,5,45
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,3,47
63,0,3,47
64,0,3,47
65,0,3,47
66,0,3,47
67,0,3,47
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,3,47
74,0,3,47
75,0,3,47
76,0,3,47
77,0,3,47
78,0,3,47
79,0,2,48
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,0,50
