step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,47,3,0
4,44,6,0
5,42,7,1
6,38,11,1
7,34,15,1
8,34,13,3
9,31,16,3
10,27,19,4
11,27,18,5
12,22,20,8
13,21,20,9
14,18,23,9
15,14,26,10
16,14,24,12
17,13,25,12
18,11,26,13
19,6,30,14
20,4,29,17
21,3,28,19
22,3,26,21
23,3,26,21
24,3,25,22
25,3,23,24
26,3,22,25
27,3,22,25
28,3,21,26
29,2,22,26
30,1,22,27
31,1,20,29
32,0,19,31
33,0,17,33
34,0,17,33
35,0,17,33
36,0,17,33
37,0,17,33
38,0,17,33
39,0,16,34
40,0,14,36
41,0,12,38
42,0,11,39
43,0,10,40
44,0,10,40
45,0,8,42
46,0,7,43
47,0,7,43
48,0,7,43
49,0,7,43
50,0,7,43
51,0,6,44
52,0,5,45
53,0,4,46
54,0,4,46
55,0,3,47
56,0,3,47
57,0,3,47
58,0,3,47
59,0,3,47
60,0,3,47
61,0,3,47
62,0,3,47
63,0,3,47
64,0,3,47
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,2,48
88,0,2,48
89,0,2,48
90,0,2,48
91,0,2,48
92,0,2,48
93,0,2,48
94,0,2,48
95,0,2,48
96,0,2,48
97,0,2,48
98,0,2,48
99,0,2,48
100,0,2,48
101,0,2,48
102,0,2,48
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,1,49
114,0,1,49
115,0,1,49
116,0,1,49
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,1,49
128,0,1,49
129,0,1,49
130,0,1,49
131,0,1,49
132,0,1,49
133,0,0,50
