step,S,I,R
0,48,2,0
1,47,2,1
2,47,2,1
3,46,3,1
4,46,3,1
5,46,3,1
6,45,4,1
7,43,6,1
8,43,5,2
9,41,7,2
10,39,8,3
11,38,9,3
12,34,13,3
13,30,16,4
14,26,20,4
15,20,25,5
16,18,27,5
17,16,28,6
18,16,28,6
19,12,31,7
20,11,31,8
21,8,34,8
22,7,33,10
23,5,33,12
24,4,31,15
25,2,30,18
26,2,28,20
27,2,27,21
28,2,25,23
29,2,25,23
30,1,25,24
31,1,24,25
32,1,22,27
33,1,19,30
34,1,19,30
35,1,18,31
36,1,17,32
37,1,17,32
38,1,17,32
39,1,17,32
40,0,17,33
41,0,15,35
42,0,12,38
43,0,12,38
44,0,9,41
45,0,7,43
46,0,7,43
47,0,7,43
48,0,6,44
49,0,6,44
50,0,6,44
51,0,6,44
52,0,6,44
53,0,5,45
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,3,47
64,0,3,47
65,0,3,47
66,0,3,47
67,0,3,47
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,0,50
