step,S,I,R
0,48,2,0
1,48,2,0
2,47,3,0
3,46,3,1
4,46,2,2
5,45,3,2
6,43,5,2
7,42,6,2
8,40,8,2
9,36,12,2
10,34,14,2
11,32,14,4
12,31,15,4
13,28,16,6
14,25,17,8
15,21,20,9
16,19,20,11
17,19,20,11
18,15,23,12
19,15,23,12
20,13,25,12
21,11,26,13
22,9,26,15
23,6,29,15
24,3,31,16
25,2,31,17
26,2,29,19
27,1,29,20
28,1,28,21
29,0,25,25
30,0,23,27
31,0,21,29
32,0,21,29
33,0,21,29
34,0,21,29
35,0,21,29
36,0,19,31
37,0,19,31
38,0,19,31
39,0,16,34
40,0,14,36
41,0,11,39
42,0,11,39
43,0,11,39
44,0,10,40
45,0,9,41
46,0,8,42
47,0,8,42
48,0,8,42
49,0,8,42
50,0,8,42
51,0,7,43
52,0,7,43
53,0,6,44
54,0,6,44
55,0,6,44
56,0,5,45
57,0,5,45
58,0,4,46
59,0,4,46
60,0,3,47
61,0,3,47
62,0,3,47
63,0,3,47
64,0,2,48
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,2,48
88,0,2,48
89,0,2,48
90,0,2,48
91,0,2,48
92,0,2,48
93,0,2,48
94,0,2,48
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,0,50
