step,S,I,R
0,48,2,0
1,48,1,1
2,47,2,1
3,46,3,1
4,45,4,1
5,44,4,2
6,43,5,2
7,42,6,2
8,39,9,2
9,39,8,3
10,37,10,3
11,35,12,3
12,33,13,4
13,31,13,6
14,27,16,7
15,24,17,9
16,20,21,9
17,20,20,10
18,18,21,11
19,17,22,11
20,14,25,11
21,10,27,13
22,10,26,14
23,10,26,14
24,10,26,14
25,9,26,15
26,7,27,16
27,7,26,17
28,7,24,19
29,6,23,21
30,6,22,22
31,4,23,23
32,4,23,23
33,4,22,24
34,3,22,25
35,2,21,27
36,2,21,27
37,1,22,27
38,1,20,29
39,1,18,31
40,1,17,32
41,1,17,32
42,0,17,33
43,0,15,35
44,0,14,36
45,0,14,36
46,0,13,37
47,0,12,38
48,0,12,38
49,0,12,38
50,0,10,40
51,0,10,40
52,0,10,40
53,0,8,42
54,0,8,42
55,0,6,44
56,0,6,44
57,0,5,45
58,0,5,45
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,3,47
64,0,3,47
65,0,3,47
66,0,3,47
67,0,3,47
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,0,50
