step,S,I,R
0,48,2,0
1,47,3,0
2,47,2,1
3,45,4,1
4,43,6,1
5,43,6,1
6,43,6,1
7,40,9,1
8,39,9,2
9,34,14,2
10,32,15,3
11,31,15,4
12,29,16,5
13,25,19,6
14,23,21,6
15,21,23,6
16,19,25,6
17,19,25,6
18,18,24,8
19,16,26,8
20,13,28,9
21,11,27,12
22,11,26,13
23,11,24,15
24,8,25,17
25,5,27,18
26,3,28,19
27,3,28,19
28,3,25,22
29,3,24,23
30,3,24,23
31,2,25,23
32,2,25,23
33,2,24,24
34,1,24,25
35,1,23,26
36,0,21,29
37,0,19,31
38,0,17,33
39,0,17,33
40,0,15,35
41,0,15,35
42,0,13,37
43,0,13,37
44,0,12,38
45,0,12,38
46,0,10,40
47,0,9,41
48,0,9,41
49,0,9,41
50,0,9,41
51,0,9,41
52,0,8,42
53,0,8,42
54,0,8,42
55,0,8,42
56,0,8,42
57,0,8,42
58,0,6,44
59,0,6,44
60,0,6,44
61,0,6,44
62,0,6,44
63,0,6,44
64,0,5,45
65,0,5,45
66,0,5,45
67,0,5,45
68,0,5,45
69,0,5,45
70,0,5,45
71,0,5,45
72,0,4,46
73,0,4,46
74,0,4,46
75,0,4,46
76,0,4,46
77,0,4,46
78,0,3,47
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,0,50
