step,S,I,R
0,48,2,0
1,46,4,0
2,46,4,0
3,44,6,0
4,42,7,1
5,42,7,1
6,41,7,2
7,40,7,3
8,38,9,3
9,34,13,3
10,32,15,3
11,31,15,4
12,29,16,5
13,26,19,5
14,24,21,5
15,20,22,8
16,20,21,9
17,14,26,10
18,12,28,10
19,9,29,12
20,8,29,13
21,7,28,15
22,7,25,18
23,7,24,19
24,6,25,19
25,4,26,20
26,2,27,21
27,2,26,22
28,1,27,22
29,1,26,23
30,1,25,24
31,1,25,24
32,1,24,25
33,1,22,27
34,1,19,30
35,1,17,32
36,1,16,33
37,1,16,33
38,1,15,34
39,1,15,34
40,1,14,35
41,1,14,35
42,1,14,35
43,1,13,36
44,0,13,37
45,0,12,38
46,0,12,38
47,0,12,38
48,0,12,38
49,0,11,39
50,0,11,39
51,0,11,39
52,0,10,40
53,0,10,40
54,0,9,41
55,0,8,42
56,0,5,45
57,0,5,45
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,3,47
66,0,3,47
67,0,3,47
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,3,47
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,2,48
88,0,2,48
89,0,2,48
90,0,2,48
91,0,2,48
92,0,2,48
93,0,2,48
94,0,2,48
95,0,2,48
96,0,2,48
97,0,2,48
98,0,2,48
99,0,2,48
100,0,2,48
101,0,2,48
102,0,2,48
103,0,2,48
104,0,2,48
105,0,0,50
