step,S,I,R
0,48,2,0
1,48,2,0
2,47,3,0
3,47,2,1
4,47,2,1
5,47,2,1
6,45,4,1
7,43,6,1
8,42,6,2
9,41,7,2
10,38,10,2
11,36,11,3
12,34,9,7
13,32,11,7
14,30,13,7
15,27,16,7
16,24,19,7
17,21,21,8
18,15,26,9
19,13,27,10
20,10,28,12
21,9,24,17
22,9,23,18
23,6,25,19
24,6,24,20
25,5,25,20
26,4,22,24
27,4,20,26
28,4,18,28
29,2,18,30
30,2,18,30
31,2,18,30
32,2,15,33
33,2,14,34
34,2,14,34
35,2,14,34
36,1,15,34
37,1,14,35
38,1,13,36
39,1,12,37
40,1,11,38
41,1,11,38
42,1,11,38
43,1,11,38
44,1,11,38
45,1,11,38
46,1,11,38
47,1,10,39
48,1,10,39
49,1,9,40
50,1,8,41
51,1,7,42
52,1,7,42
53,1,7,42
54,1,7,42
55,1,7,42
56,1,7,42
57,1,7,42
58,1,7,42
59,1,7,42
60,1,7,42
61,1,7,42
62,1,7,42
63,1,7,42
64,1,5,44
65,1,5,44
66,1,5,44
67,1,5,44
68,1,5,44
69,1,5,44
70,0,6,44
71,0,5,45
72,0,5,45
73,0,5,45
74,0,5,45
75,0,4,46
76,0,4,46
77,0,4,46
78,0,4,46
79,0,4,46
80,0,3,47
81,0,3,47
82,0,3,47
83,0,3,47
84,0,3,47
85,0,3,47
86,0,2,48
87,0,2,48
88,0,2,48
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,1,49
114,0,1,49
115,0,1,49
116,0,1,49
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,1,49
128,0,1,49
129,0,1,49
130,0,1,49
131,0,1,49
132,0,1,49
133,0,1,49
134,0,1,49
135,0,1,49
136,0,1,49
137,0,1,49
138,0,1,49
139,0,0,50
