step,S,I,R
0,48,2,0
1,46,4,0
2,43,7,0
3,39,10,1
4,36,11,3
5,35,12,3
6,34,13,3
7,32,15,3
8,30,15,5
9,27,18,5
10,23,20,7
11,23,19,8
12,21,21,8
13,19,22,9
14,17,24,9
15,16,23,11
16,11,27,12
17,7,31,12
18,5,33,12
19,3,33,14
20,1,34,15
21,1,33,16
22,1,33,16
23,1,29,20
24,1,28,21
25,1,28,21
26,1,25,24
27,1,23,26
28,1,22,27
29,1,19,30
30,1,18,31
31,1,17,32
32,0,16,34
33,0,16,34
34,0,14,36
35,0,13,37
36,0,13,37
37,0,13,37
38,0,13,37
39,0,13,37
40,0,12,38
41,0,12,38
42,0,11,39
43,0,9,41
44,0,9,41
45,0,8,42
46,0,7,43
47,0,6,44
48,0,5,45
49,0,5,45
50,0,4,46
51,0,4,46
52,0,4,46
53,0,4,46
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,3,47
63,0,3,47
64,0,2,48
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,0,50
