step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,46,4,0
4,44,6,0
5,43,7,0
6,43,6,1
7,42,7,1
8,40,9,1
9,36,13,1
10,32,16,2
11,31,14,5
12,28,16,6
13,25,18,7
14,23,19,8
15,21,20,9
16,19,22,9
17,17,22,11
18,16,22,12
19,14,23,13
20,12,25,13
21,7,29,14
22,6,29,15
23,4,30,16
24,4,26,20
25,4,24,22
26,3,24,23
27,2,23,25
28,2,22,26
29,2,20,28
30,2,18,30
31,2,18,30
32,2,17,31
33,2,15,33
34,1,15,34
35,1,15,34
36,1,15,34
37,1,15,34
38,1,13,36
39,1,13,36
40,1,13,36
41,1,12,37
42,1,12,37
43,1,10,39
44,1,9,40
45,1,9,40
46,1,8,41
47,1,8,41
48,1,8,41
49,0,9,41
50,0,9,41
51,0,8,42
52,0,8,42
53,0,8,42
54,0,8,42
55,0,8,42
56,0,8,42
57,0,8,42
58,0,8,42
59,0,7,43
60,0,7,43
61,0,7,43
62,0,7,43
63,0,7,43
64,0,6,44
65,0,6,44
66,0,5,45
67,0,4,46
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,3,47
74,0,3,47
75,0,3,47
76,0,3,47
77,0,3,47
78,0,3,47
79,0,3,47
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,1,49
88,0,0,50
