step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,48,2,0
4,48,2,0
5,46,4,0
6,44,5,1
7,44,5,1
8,44,4,2
9,42,5,3
10,42,5,3
11,37,9,4
12,36,10,4
13,35,10,5
14,35,9,6
15,33,10,7
16,30,12,8
17,29,13,8
18,27,15,8
19,25,16,9
20,24,16,10
21,22,17,11
22,19,17,14
23,18,16,16
24,16,18,16
25,16,18,16
26,16,18,16
27,15,19,16
28,12,21,17
29,9,24,17
30,8,24,18
31,6,25,19
32,5,24,21
33,3,25,22
34,3,25,22
35,3,24,23
36,3,24,23
37,3,21,26
38,3,20,27
39,3,19,28
40,3,18,29
41,3,16,31
42,3,15,32
43,3,15,32
44,3,14,33
45,3,14,33
46,3,14,33
47,3,14,33
48,2,15,33
49,2,15,33
50,2,14,34
51,2,13,35
52,2,13,35
53,2,12,36
54,2,12,36
55,2,12,36
56,2,12,36
57,2,12,36
58,2,12,36
59,2,11,37
60,2,11,37
61,1,12,37
62,1,11,38
63,1,11,38
64,1,11,38
65,1,11,38
66,1,11,38
67,1,11,38
68,1,11,38
69,1,10,39
70,1,10,39
71,1,10,39
72,1,10,39
73,1,10,39
74,1,10,39
75,1,9,40
76,1,9,40
77,1,9,40
78,1,7,42
79,1,7,42
80,1,6,43
81,1,6,43
82,1,6,43
83,1,5,44
84,1,5,44
85,1,4,45
86,1,3,46
87,1,2,47
88,1,2,47
89,1,2,47
90,1,2,47
91,1,2,47
92,1,2,47
93,1,2,47
94,1,2,47
95,1,2,47
96,1,2,47
97,1,2,47
98,1,2,47
99,1,2,47
100,1,2,47
101,1,2,47
102,1,2,47
103,1,2,47
104,1,2,47
105,1,2,47
106,1,2,47
107,1,2,47
108,1,2,47
109,1,2,47
110,1,1,48
111,1,1,48
112,1,1,48
113,1,1,48
114,1,1,48
115,1,1,48
116,1,1,48
117,1,1,48
118,1,1,48
119,1,1,48
120,1,1,48
121,1,1,48
122,1,1,48
123,1,1,48
124,1,0,49
