step,S,I,R
0,34,2,14
1,33,3,14
2,31,5,14
3,26,10,14
4,25,11,14
5,21,15,14
6,19,17,14
7,17,17,16
8,14,19,17
9,12,18,20
10,12,17,21
11,9,19,22
12,8,20,22
13,8,18,24
14,5,20,25
15,3,22,25
16,2,23,25
17,1,24,25
18,1,19,30
19,0,18,32
20,0,17,33
21,0,16,34
22,0,15,35
23,0,13,37
24,0,13,37
25,0,13,37
26,0,12,38
27,0,12,38
28,0,11,39
29,0,10,40
30,0,9,41
31,0,9,41
32,0,9,41
33,0,8,42
34,0,8,42
35,0,8,42
36,0,8,42
37,0,8,42
38,0,8,42
39,0,8,42
40,0,8,42
41,0,7,43
42,0,6,44
43,0,6,44
44,0,6,44
45,0,6,44
46,0,6,44
47,0,6,44
48,0,6,44
49,0,6,44
50,0,6,44
51,0,6,44
52,0,6,44
53,0,5,45
54,0,5,45
55,0,5,45
56,0,5,45
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,4,46
68,0,4,46
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,3,47
74,0,3,47
75,0,3,47
76,0,3,47
77,0,3,47
78,0,3,47
79,0,3,47
80,0,3,47
81,0,3,47
82,0,3,47
83,0,3,47
84,0,3,47
85,0,3,47
86,0,3,47
87,0,3,47
88,0,3,47
89,0,3,47
90,0,3,47
91,0,3,47
92,0,3,47
93,0,2,48
94,0,2,48
95,0,2,48
96,0,2,48
97,0,2,48
98,0,2,48
99,0,1,49
100,0,1,49
101,0,0,50
