step,S,I,R
0,34,2,14
1,33,3,14
2,32,4,14
3,31,5,14
4,30,6,14
5,27,8,15
6,26,7,17
7,24,9,17
8,24,6,20
9,22,8,20
10,20,9,21
11,18,10,22
12,15,13,22
13,15,13,22
14,13,15,22
15,11,17,22
16,7,21,22
17,5,20,25
18,4,20,26
19,3,21,26
20,2,22,26
21,1,22,27
22,1,21,28
23,1,19,30
24,1,19,30
25,1,17,32
26,1,17,32
27,1,15,34
28,1,14,35
29,1,14,35
30,1,14,35
31,1,14,35
32,1,12,37
33,1,11,38
34,1,10,39
35,0,11,39
36,0,9,41
37,0,9,41
38,0,9,41
39,0,6,44
40,0,6,44
41,0,6,44
42,0,6,44
43,0,6,44
44,0,6,44
45,0,6,44
46,0,6,44
47,0,6,44
48,0,6,44
49,0,5,45
50,0,5,45
51,0,5,45
52,0,5,45
53,0,5,45
54,0,5,45
55,0,5,45
56,0,5,45
57,0,5,45
58,0,5,45
59,0,5,45
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,3,47
66,0,3,47
67,0,3,47
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,3,47
74,0,3,47
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,0,50
