step,S,I,R
0,34,2,14
1,32,3,15
2,30,5,15
3,29,5,16
4,27,7,16
5,25,8,17
6,20,13,17
7,17,16,17
8,16,15,19
9,13,18,19
10,11,20,19
11,11,19,20
12,8,22,20
13,6,24,20
14,6,23,21
15,6,23,21
16,6,22,22
17,4,21,25
18,3,22,25
19,2,21,27
20,1,22,27
21,0,21,29
22,0,21,29
23,0,20,30
24,0,18,32
25,0,16,34
26,0,16,34
27,0,16,34
28,0,16,34
29,0,15,35
30,0,14,36
31,0,14,36
32,0,14,36
33,0,14,36
34,0,14,36
35,0,14,36
36,0,14,36
37,0,13,37
38,0,13,37
39,0,13,37
40,0,13,37
41,0,12,38
42,0,12,38
43,0,12,38
44,0,11,39
45,0,11,39
46,0,11,39
47,0,11,39
48,0,10,40
49,0,9,41
50,0,9,41
51,0,9,41
52,0,9,41
53,0,9,41
54,0,8,42
55,0,7,43
56,0,7,43
57,0,6,44
58,0,6,44
59,0,6,44
60,0,6,44
61,0,4,46
62,0,3,47
63,0,3,47
64,0,2,48
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,1,49
114,0,1,49
115,0,1,49
116,0,1,49
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,1,49
128,0,1,49
129,0,1,49
130,0,1,49
131,0,1,49
132,0,1,49
133,0,1,49
134,0,1,49
135,0,1,49
136,0,1,49
137,0,1,49
138,0,1,49
139,0,1,49
140,0,1,49
141,0,1,49
142,0,1,49
143,0,1,49
144,0,1,49
145,0,1,49
146,0,1,49
147,0,1,49
148,0,1,49
149,0,1,49
150,0,1,49
151,0,1,49
152,0,0,50
