step,S,I,R
0,34,2,14
1,33,3,14
2,32,4,14
3,32,4,14
4,32,4,14
5,31,5,14
6,28,7,15
7,27,7,16
8,24,9,17
9,21,12,17
10,19,14,17
11,19,14,17
12,17,14,19
13,17,13,20
14,14,14,22
15,14,14,22
16,13,15,22
17,10,17,23
18,10,14,26
19,8,15,27
20,8,14,28
21,7,13,30
22,6,12,32
23,6,12,32
24,5,13,32
25,5,13,32
26,5,13,32
27,4,11,35
28,2,13,35
29,2,12,36
30,2,12,36
31,2,12,36
32,2,12,36
33,2,12,36
34,2,12,36
35,2,12,36
36,1,12,37
37,1,12,37
38,1,12,37
39,1,10,39
40,1,10,39
41,1,10,39
42,1,9,40
43,1,9,40
44,0,9,41
45,0,9,41
46,0,9,41
47,0,8,42
48,0,8,42
49,0,8,42
50,0,8,42
51,0,7,43
52,0,7,43
53,0,7,43
54,0,6,44
55,0,6,44
56,0,5,45
57,0,5,45
58,0,5,45
59,0,4,46
60,0,3,47
61,0,3,47
62,0,3,47
63,0,3,47
64,0,3,47
65,0,3,47
66,0,3,47
67,0,3,47
68,0,3,47
69,0,1,49
70,0,1,49
71,0,1,49
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,0,50
