step,S,I,R
0,34,2,14
1,33,3,14
2,31,5,14
3,29,7,14
4,26,10,14
5,22,14,14
6,20,15,15
7,15,20,15
8,12,23,15
9,10,23,17
10,9,23,18
11,6,25,19
12,4,25,21
13,3,26,21
14,2,24,24
15,2,23,25
16,1,24,25
17,1,21,28
18,0,20,30
19,0,18,32
20,0,18,32
21,0,18,32
22,0,16,34
23,0,15,35
24,0,13,37
25,0,13,37
26,0,12,38
27,0,12,38
28,0,12,38
29,0,11,39
30,0,11,39
31,0,10,40
32,0,9,41
33,0,8,42
34,0,8,42
35,0,8,42
36,0,8,42
37,0,8,42
38,0,7,43
39,0,7,43
40,0,6,44
41,0,6,44
42,0,6,44
43,0,6,44
44,0,6,44
45,0,6,44
46,0,5,45
47,0,5,45
48,0,5,45
49,0,5,45
50,0,5,45
51,0,5,45
52,0,4,46
53,0,4,46
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,3,47
60,0,3,47
61,0,3,47
62,0,3,47
63,0,2,48
64,0,1,49
65,0,1,49
66,0,1,49
67,0,1,49
68,0,1,49
69,0,1,49
70,0,1,49
71,0,1,49
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,0,50
