step,S,I,R
0,34,2,14
1,33,3,14
2,32,4,14
3,28,8,14
4,25,10,15
5,22,13,15
6,20,13,17
7,18,15,17
8,16,17,17
9,15,18,17
10,12,19,19
11,7,23,20
12,7,23,20
13,6,22,22
14,5,23,22
15,5,22,23
16,4,23,23
17,2,23,25
18,1,23,26
19,1,22,27
20,1,21,28
21,1,21,28
22,1,15,34
23,1,15,34
24,1,14,35
25,1,13,36
26,1,10,39
27,1,10,39
28,1,10,39
29,1,10,39
30,1,10,39
31,1,9,40
32,1,9,40
33,0,10,40
34,0,10,40
35,0,9,41
36,0,8,42
37,0,8,42
38,0,6,44
39,0,6,44
40,0,6,44
41,0,5,45
42,0,5,45
43,0,5,45
44,0,5,45
45,0,5,45
46,0,5,45
47,0,5,45
48,0,5,45
49,0,4,46
50,0,4,46
51,0,4,46
52,0,4,46
53,0,4,46
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,4,46
68,0,4,46
69,0,4,46
70,0,3,47
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,0,50
