step,S,I,R
0,34,2,14
1,34,2,14
2,34,2,14
3,33,3,14
4,33,3,14
5,33,3,14
6,33,3,14
7,31,4,15
8,29,6,15
9,27,7,16
10,26,7,17
11,25,7,18
12,24,8,18
13,22,10,18
14,21,10,19
15,16,15,19
16,13,18,19
17,11,19,20
18,10,20,20
19,8,22,20
20,6,23,21
21,5,23,22
22,4,23,23
23,3,24,23
24,2,24,24
25,2,23,25
26,1,23,26
27,1,23,26
28,1,22,27
29,1,20,29
30,1,19,30
31,1,17,32
32,1,17,32
33,1,15,34
34,1,14,35
35,1,14,35
36,1,14,35
37,0,15,35
38,0,14,36
39,0,13,37
40,0,12,38
41,0,11,39
42,0,11,39
43,0,10,40
44,0,10,40
45,0,9,41
46,0,7,43
47,0,7,43
48,0,5,45
49,0,5,45
50,0,5,45
51,0,5,45
52,0,5,45
53,0,5,45
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,3,47
67,0,3,47
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,3,47
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,2,48
88,0,0,50
