step,S,I,R
0,34,2,14
1,33,3,14
2,33,3,14
3,30,6,14
4,28,8,14
5,26,10,14
6,22,14,14
7,16,20,14
8,12,23,15
9,8,27,15
10,6,29,15
11,5,29,16
12,2,31,17
13,2,28,20
14,2,28,20
15,2,25,23
16,2,24,24
17,1,24,25
18,1,21,28
19,1,20,29
20,1,19,30
21,1,18,31
22,1,18,31
23,1,17,32
24,1,16,33
25,1,15,34
26,1,12,37
27,1,12,37
28,1,12,37
29,1,11,38
30,1,11,38
31,1,10,39
32,1,10,39
33,1,10,39
34,1,8,41
35,1,8,41
36,1,8,41
37,1,8,41
38,1,8,41
39,1,7,42
40,1,7,42
41,1,6,43
42,1,6,43
43,1,5,44
44,1,5,44
45,1,5,44
46,1,5,44
47,1,5,44
48,0,6,44
49,0,6,44
50,0,4,46
51,0,4,46
52,0,4,46
53,0,4,46
54,0,4,46
55,0,4,46
56,0,3,47
57,0,3,47
58,0,3,47
59,0,3,47
60,0,3,47
61,0,3,47
62,0,2,48
63,0,2,48
64,0,2,48
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,1,49
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,0,50
