step,S,I,R
0,34,2,14
1,34,2,14
2,33,3,14
3,32,4,14
4,31,4,15
5,31,4,15
6,30,3,17
7,29,4,17
8,29,4,17
9,26,7,17
10,25,8,17
11,23,10,17
12,18,14,18
13,17,15,18
14,15,16,19
15,14,16,20
16,11,18,21
17,11,18,21
18,11,18,21
19,9,20,21
20,8,21,21
21,5,23,22
22,4,23,23
23,4,23,23
24,4,22,24
25,3,21,26
26,1,22,27
27,0,22,28
28,0,22,28
29,0,22,28
30,0,21,29
31,0,21,29
32,0,21,29
33,0,20,30
34,0,19,31
35,0,18,32
36,0,16,34
37,0,14,36
38,0,14,36
39,0,13,37
40,0,13,37
41,0,11,39
42,0,9,41
43,0,9,41
44,0,9,41
45,0,9,41
46,0,9,41
47,0,9,41
48,0,9,41
49,0,8,42
50,0,8,42
51,0,8,42
52,0,8,42
53,0,7,43
54,0,7,43
55,0,7,43
56,0,7,43
57,0,6,44
58,0,6,44
59,0,6,44
60,0,6,44
61,0,4,46
62,0,4,46
63,0,4,46
64,0,3,47
65,0,3,47
66,0,3,47
67,0,3,47
68,0,3,47
69,0,3,47
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,0,50
