step,S,I,R
0,34,2,14
1,34,2,14
2,34,2,14
3,33,3,14
4,31,5,14
5,30,6,14
6,28,8,14
7,26,10,14
8,24,12,14
9,22,13,15
10,17,18,15
11,13,22,15
12,12,23,15
13,11,23,16
14,9,24,17
15,8,23,19
16,8,21,21
17,6,21,23
18,5,22,23
19,4,22,24
20,3,22,25
21,2,23,25
22,2,22,26
23,1,23,26
24,1,21,28
25,1,21,28
26,1,20,29
27,0,20,30
28,0,19,31
29,0,19,31
30,0,17,33
31,0,16,34
32,0,16,34
33,0,16,34
34,0,15,35
35,0,15,35
36,0,15,35
37,0,15,35
38,0,14,36
39,0,12,38
40,0,12,38
41,0,11,39
42,0,10,40
43,0,10,40
44,0,10,40
45,0,10,40
46,0,9,41
47,0,8,42
48,0,8,42
49,0,8,42
50,0,8,42
51,0,7,43
52,0,7,43
53,0,7,43
54,0,7,43
55,0,6,44
56,0,5,45
57,0,5,45
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,3,47
65,0,3,47
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,2,48
88,0,2,48
89,0,2,48
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,0,50
