step,S,I,R
0,34,2,14
1,32,4,14
2,30,6,14
3,28,7,15
4,25,10,15
5,24,11,15
6,22,11,17
7,19,14,17
8,11,21,18
9,8,24,18
10,7,25,18
11,7,23,20
12,6,24,20
13,6,23,21
14,5,20,25
15,4,20,26
16,4,19,27
17,4,18,28
18,2,20,28
19,2,16,32
20,2,16,32
21,2,15,33
22,2,13,35
23,1,13,36
24,1,11,38
25,1,11,38
26,1,11,38
27,1,11,38
28,1,10,39
29,1,9,40
30,1,9,40
31,1,9,40
32,1,7,42
33,1,6,43
34,1,6,43
35,1,6,43
36,1,5,44
37,1,5,44
38,1,4,45
39,1,4,45
40,1,4,45
41,1,3,46
42,1,3,46
43,0,3,47
44,0,2,48
45,0,2,48
46,0,2,48
47,0,2,48
48,0,2,48
49,0,2,48
50,0,2,48
51,0,2,48
52,0,2,48
53,0,1,49
54,0,1,49
55,0,1,49
56,0,1,49
57,0,0,50
