step,S,I,R
0,38,2,10
1,37,3,10
2,35,5,10
3,32,8,10
4,29,10,11
5,29,10,11
6,27,12,11
7,23,15,12
8,21,15,14
9,19,17,14
10,18,17,15
11,16,18,16
12,14,18,18
13,12,19,19
14,11,20,19
15,10,18,22
16,9,18,23
17,9,18,23
18,8,17,25
19,8,17,25
20,7,18,25
21,7,18,25
22,6,19,25
23,6,18,26
24,6,18,26
25,5,19,26
26,4,17,29
27,4,13,33
28,4,12,34
29,4,11,35
30,4,10,36
31,4,10,36
32,4,10,36
33,4,9,37
34,4,9,37
35,4,9,37
36,4,9,37
37,4,8,38
38,4,8,38
39,4,8,38
40,4,8,38
41,4,8,38
42,4,8,38
43,4,8,38
44,4,8,38
45,4,8,38
46,4,7,39
47,4,6,40
48,4,5,41
49,4,4,42
50,4,4,42
51,4,3,43
52,4,3,43
53,4,3,43
54,4,3,43
55,4,3,43
56,4,3,43
57,4,3,43
58,4,3,43
59,4,3,43
60,4,2,44
61,4,2,44
62,4,2,44
63,4,2,44
64,4,2,44
65,4,2,44
66,4,2,44
67,4,2,44
68,4,2,44
69,4,2,44
70,4,2,44
71,4,2,44
72,4,1,45
73,4,1,45
74,4,1,45
75,4,1,45
76,4,1,45
77,4,1,45
78,4,1,45
79,4,1,45
80,4,1,45
81,4,1,45
82,4,1,45
83,4,0,46
