step,S,I,R
0,38,2,10
1,37,2,11
2,36,3,11
3,36,3,11
4,35,4,11
5,34,4,12
6,33,5,12
7,33,5,12
8,31,7,12
9,28,10,12
10,26,11,13
11,26,11,13
12,26,11,13
13,25,12,13
14,23,14,13
15,19,17,14
16,15,21,14
17,11,24,15
18,11,23,16
19,11,23,16
20,10,23,17
21,6,26,18
22,5,22,23
23,5,22,23
24,4,23,23
25,4,21,25
26,3,22,25
27,2,18,30
28,1,18,31
29,1,17,32
30,1,16,33
31,1,15,34
32,1,14,35
33,1,14,35
34,1,12,37
35,1,10,39
36,1,8,41
37,1,8,41
38,1,8,41
39,1,7,42
40,1,7,42
41,1,6,43
42,1,6,43
43,1,5,44
44,1,5,44
45,1,5,44
46,1,5,44
47,0,6,44
48,0,6,44
49,0,6,44
50,0,5,45
51,0,5,45
52,0,4,46
53,0,4,46
54,0,4,46
55,0,4,46
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,3,47
62,0,2,48
63,0,2,48
64,0,2,48
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,0,50
