step,S,I,R
0,38,2,10
1,37,3,10
2,36,4,10
3,35,5,10
4,34,6,10
5,34,6,10
6,33,7,10
7,32,8,10
8,30,9,11
9,30,9,11
10,26,13,11
11,24,15,11
12,22,17,11
13,19,20,11
14,15,23,12
15,13,24,13
16,11,24,15
17,8,25,17
18,7,25,18
19,5,26,19
20,4,26,20
21,2,28,20
22,2,27,21
23,2,25,23
24,2,23,25
25,2,22,26
26,2,22,26
27,2,21,27
28,2,20,28
29,1,20,29
30,1,19,30
31,1,19,30
32,1,18,31
33,1,18,31
34,1,18,31
35,1,17,32
36,1,15,34
37,1,15,34
38,1,15,34
39,1,13,36
40,1,13,36
41,1,13,36
42,1,11,38
43,1,11,38
44,1,11,38
45,1,10,39
46,1,10,39
47,1,9,40
48,1,9,40
49,1,9,40
50,1,7,42
51,1,7,42
52,1,7,42
53,1,5,44
54,1,5,44
55,1,5,44
56,1,4,45
57,1,3,46
58,1,3,46
59,1,3,46
60,1,3,46
61,1,3,46
62,1,3,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,3,47
68,0,3,47
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,1,49
79,0,1,49
80,0,0,50
