step,S,I,R
0,38,2,10
1,38,2,10
2,37,3,10
3,37,3,10
4,36,4,10
5,36,4,10
6,35,5,10
7,34,6,10
8,33,7,10
9,32,8,10
10,31,9,10
11,31,8,11
12,31,8,11
13,30,9,11
14,28,11,11
15,26,12,12
16,21,17,12
17,19,18,13
18,16,21,13
19,15,21,14
20,13,21,16
21,13,20,17
22,11,22,17
23,9,24,17
24,9,23,18
25,8,22,20
26,4,23,23
27,3,24,23
28,3,23,24
29,3,21,26
30,2,22,26
31,2,18,30
32,2,17,31
33,1,17,32
34,0,18,32
35,0,18,32
36,0,15,35
37,0,13,37
38,0,13,37
39,0,13,37
40,0,12,38
41,0,11,39
42,0,10,40
43,0,10,40
44,0,9,41
45,0,9,41
46,0,8,42
47,0,8,42
48,0,8,42
49,0,8,42
50,0,8,42
51,0,8,42
52,0,7,43
53,0,7,43
54,0,7,43
55,0,7,43
56,0,7,43
57,0,7,43
58,0,6,44
59,0,6,44
60,0,6,44
61,0,6,44
62,0,6,44
63,0,5,45
64,0,5,45
65,0,5,45
66,0,5,45
67,0,5,45
68,0,5,45
69,0,5,45
70,0,5,45
71,0,5,45
72,0,5,45
73,0,5,45
74,0,5,45
75,0,5,45
76,0,5,45
77,0,3,47
78,0,3,47
79,0,3,47
80,0,3,47
81,0,3,47
82,0,3,47
83,0,3,47
84,0,3,47
85,0,3,47
86,0,3,47
87,0,3,47
88,0,3,47
89,0,3,47
90,0,3,47
91,0,3,47
92,0,2,48
93,0,2,48
94,0,2,48
95,0,2,48
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,0,50
