step,S,I,R
0,38,2,10
1,37,3,10
2,36,4,10
3,36,4,10
4,35,5,10
5,35,4,11
6,35,4,11
7,35,4,11
8,34,5,11
9,33,6,11
10,31,8,11
11,30,9,11
12,29,10,11
13,26,13,11
14,22,16,12
15,21,17,12
16,20,18,12
17,17,20,13
18,11,23,16
19,9,24,17
20,7,25,18
21,6,26,18
22,5,26,19
23,5,25,20
24,4,25,21
25,2,26,22
26,1,25,24
27,1,24,25
28,0,23,27
29,0,21,29
30,0,18,32
31,0,18,32
32,0,18,32
33,0,17,33
34,0,16,34
35,0,16,34
36,0,16,34
37,0,16,34
38,0,15,35
39,0,15,35
40,0,13,37
41,0,12,38
42,0,11,39
43,0,11,39
44,0,10,40
45,0,10,40
46,0,8,42
47,0,8,42
48,0,8,42
49,0,8,42
50,0,8,42
51,0,8,42
52,0,8,42
53,0,5,45
54,0,5,45
55,0,5,45
56,0,4,46
57,0,4,46
58,0,3,47
59,0,2,48
60,0,2,48
61,0,1,49
62,0,1,49
63,0,1,49
64,0,1,49
65,0,1,49
66,0,1,49
67,0,1,49
68,0,1,49
69,0,1,49
70,0,0,50
