step,S,I,R
0,38,2,10
1,37,3,10
2,36,4,10
3,33,6,11
4,31,7,12
5,25,13,12
6,22,16,12
7,21,16,13
8,19,17,14
9,16,19,15
10,15,18,17
11,12,19,19
12,11,19,20
13,11,18,21
14,10,19,21
15,9,20,21
16,9,19,22
17,8,19,23
18,8,18,24
19,6,20,24
20,6,20,24
21,4,21,25
22,2,20,28
23,2,18,30
24,2,16,32
25,1,17,32
26,1,15,34
27,1,14,35
28,1,14,35
29,1,13,36
30,1,13,36
31,1,12,37
32,1,12,37
33,1,12,37
34,1,12,37
35,1,11,38
36,1,11,38
37,1,10,39
38,1,10,39
39,1,9,40
40,1,9,40
41,1,9,40
42,1,9,40
43,1,9,40
44,1,8,41
45,1,7,42
46,1,7,42
47,1,6,43
48,1,5,44
49,1,5,44
50,1,4,45
51,1,4,45
52,0,5,45
53,0,5,45
54,0,5,45
55,0,5,45
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,3,47
63,0,3,47
64,0,3,47
65,0,3,47
66,0,1,49
67,0,1,49
68,0,1,49
69,0,1,49
70,0,1,49
71,0,1,49
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,0,50
