step,S,I,R
0,38,2,10
1,37,3,10
2,35,5,10
3,34,6,10
4,32,7,11
5,29,9,12
6,26,12,12
7,23,13,14
8,21,14,15
9,19,15,16
10,17,16,17
11,16,16,18
12,15,17,18
13,14,17,19
14,14,15,21
15,13,16,21
16,13,16,21
17,13,15,22
18,10,17,23
19,9,17,24
20,7,17,26
21,6,17,27
22,5,18,27
23,5,17,28
24,4,18,28
25,3,18,29
26,3,18,29
27,2,18,30
28,2,16,32
29,2,15,33
30,2,13,35
31,2,13,35
32,2,13,35
33,2,13,35
34,2,12,36
35,2,12,36
36,2,9,39
37,2,8,40
38,2,8,40
39,2,7,41
40,2,6,42
41,2,6,42
42,2,6,42
43,2,6,42
44,2,6,42
45,2,5,43
46,2,4,44
47,2,4,44
48,2,4,44
49,2,4,44
50,1,5,44
51,1,5,44
52,1,5,44
53,1,5,44
54,1,5,44
55,1,5,44
56,1,4,45
57,1,3,46
58,1,3,46
59,1,3,46
60,1,3,46
61,1,3,46
62,1,2,47
63,1,2,47
64,1,2,47
65,1,2,47
66,1,2,47
67,1,2,47
68,1,2,47
69,1,2,47
70,1,1,48
71,1,1,48
72,1,1,48
73,1,1,48
74,1,1,48
75,1,1,48
76,1,1,48
77,1,1,48
78,1,1,48
79,1,1,48
80,1,1,48
81,1,1,48
82,1,1,48
83,1,1,48
84,1,1,48
85,1,1,48
86,1,1,48
87,1,1,48
88,1,1,48
89,1,1,48
90,1,1,48
91,1,0,49
