step,S,I,R
0,38,2,10
1,36,4,10
2,36,3,11
3,36,3,11
4,36,3,11
5,34,5,11
6,32,5,13
7,30,7,13
8,30,7,13
9,30,7,13
10,28,9,13
11,27,9,14
12,25,11,14
13,22,13,15
14,19,15,16
15,15,19,16
16,15,19,16
17,13,19,18
18,13,19,18
19,12,20,18
20,11,20,19
21,11,20,19
22,9,22,19
23,7,22,21
24,5,24,21
25,4,24,22
26,4,24,22
27,3,24,23
28,3,23,24
29,2,22,26
30,2,21,27
31,2,20,28
32,2,20,28
33,1,18,31
34,1,17,32
35,1,16,33
36,1,16,33
37,1,16,33
38,1,16,33
39,1,15,34
40,1,14,35
41,1,12,37
42,1,10,39
43,1,10,39
44,1,10,39
45,1,9,40
46,1,9,40
47,1,9,40
48,1,9,40
49,0,10,40
50,0,10,40
51,0,9,41
52,0,9,41
53,0,8,42
54,0,7,43
55,0,6,44
56,0,6,44
57,0,6,44
58,0,5,45
59,0,5,45
60,0,5,45
61,0,5,45
62,0,4,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,4,46
68,0,4,46
69,0,4,46
70,0,4,46
71,0,3,47
72,0,3,47
73,0,3,47
74,0,3,47
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,1,49
114,0,1,49
115,0,1,49
116,0,1,49
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,1,49
128,0,1,49
129,0,1,49
130,0,1,49
131,0,1,49
132,0,1,49
133,0,1,49
134,0,1,49
135,0,1,49
136,0,1,49
137,0,1,49
138,0,1,49
139,0,1,49
140,0,1,49
141,0,1,49
142,0,1,49
143,0,1,49
144,0,1,49
145,0,1,49
146,0,1,49
147,0,1,49
148,0,1,49
149,0,1,49
150,0,1,49
151,0,1,49
152,0,1,49
153,0,1,49
154,0,1,49
155,0,1,49
156,0,1,49
157,0,1,49
158,0,0,50
