step,S,I,R
0,38,2,10
1,38,2,10
2,37,3,10
3,36,4,10
4,35,5,10
5,32,8,10
6,31,7,12
7,31,6,13
8,31,6,13
9,28,9,13
10,27,10,13
11,25,12,13
12,21,15,14
13,20,15,15
14,18,17,15
15,15,20,15
16,14,19,17
17,11,22,17
18,10,23,17
19,9,24,17
20,8,24,18
21,5,26,19
22,5,25,20
23,4,24,22
24,4,22,24
25,3,20,27
26,3,19,28
27,3,18,29
28,3,18,29
29,3,18,29
30,2,18,30
31,1,19,30
32,1,18,31
33,1,18,31
34,1,17,32
35,1,17,32
36,1,17,32
37,1,16,33
38,1,15,34
39,1,15,34
40,0,14,36
41,0,14,36
42,0,14,36
43,0,14,36
44,0,14,36
45,0,13,37
46,0,13,37
47,0,13,37
48,0,13,37
49,0,13,37
50,0,12,38
51,0,10,40
52,0,9,41
53,0,8,42
54,0,8,42
55,0,7,43
56,0,7,43
57,0,7,43
58,0,7,43
59,0,6,44
60,0,5,45
61,0,5,45
62,0,5,45
63,0,5,45
64,0,5,45
65,0,4,46
66,0,4,46
67,0,4,46
68,0,3,47
69,0,3,47
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,2,48
88,0,2,48
89,0,2,48
90,0,2,48
91,0,2,48
92,0,2,48
93,0,2,48
94,0,2,48
95,0,2,48
96,0,2,48
97,0,2,48
98,0,2,48
99,0,2,48
100,0,2,48
101,0,2,48
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,0,50
