step,S,I,R
0,38,2,10
1,38,2,10
2,38,2,10
3,38,2,10
4,37,3,10
5,37,3,10
6,37,3,10
7,37,2,11
8,37,2,11
9,36,3,11
10,36,3,11
11,36,3,11
12,35,4,11
13,34,5,11
14,32,7,11
15,31,8,11
16,28,11,11
17,26,12,12
18,26,11,13
19,24,13,13
20,23,14,13
21,21,16,13
22,18,18,14
23,16,19,15
24,14,20,16
25,12,21,17
26,10,21,19
27,8,20,22
28,7,20,23
29,6,17,27
30,4,19,27
31,4,16,30
32,2,18,30
33,2,16,32
34,2,16,32
35,2,16,32
36,1,17,32
37,1,16,33
38,1,14,35
39,1,13,36
40,1,12,37
41,1,12,37
42,0,13,37
43,0,13,37
44,0,13,37
45,0,13,37
46,0,12,38
47,0,12,38
48,0,12,38
49,0,12,38
50,0,12,38
51,0,12,38
52,0,11,39
53,0,11,39
54,0,11,39
55,0,10,40
56,0,9,41
57,0,9,41
58,0,9,41
59,0,9,41
60,0,9,41
61,0,8,42
62,0,7,43
63,0,6,44
64,0,6,44
65,0,6,44
66,0,6,44
67,0,6,44
68,0,6,44
69,0,6,44
70,0,6,44
71,0,6,44
72,0,6,44
73,0,6,44
74,0,6,44
75,0,6,44
76,0,5,45
77,0,5,45
78,0,3,47
79,0,3,47
80,0,3,47
81,0,3,47
82,0,3,47
83,0,2,48
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,0,50
