step,S,I,R
0,38,2,10
1,37,3,10
2,37,3,10
3,37,3,10
4,37,3,10
5,37,3,10
6,37,3,10
7,37,3,10
8,36,4,10
9,34,6,10
10,33,7,10
11,32,7,11
12,32,7,11
13,31,8,11
14,30,8,12
15,28,10,12
16,26,12,12
17,25,13,12
18,20,16,14
19,19,17,14
20,18,16,16
21,15,16,19
22,14,17,19
23,12,18,20
24,11,18,21
25,9,18,23
26,9,18,23
27,6,20,24
28,5,20,25
29,4,19,27
30,3,18,29
31,3,17,30
32,3,16,31
33,3,16,31
34,3,15,32
35,3,15,32
36,2,13,35
37,2,11,37
38,1,12,37
39,1,11,38
40,1,10,39
41,1,9,40
42,1,8,41
43,1,8,41
44,1,8,41
45,1,8,41
46,1,7,42
47,0,8,42
48,0,8,42
49,0,8,42
50,0,8,42
51,0,7,43
52,0,5,45
53,0,5,45
54,0,5,45
55,0,5,45
56,0,4,46
57,0,4,46
58,0,4,46
59,0,4,46
60,0,4,46
61,0,4,46
62,0,4,46
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,4,46
68,0,4,46
69,0,3,47
70,0,3,47
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,0,50
